Ponto;Lat;Lon;Hora;Secchi (cm);Data
st1;-28.495191;-48.75324;14:04;135;1-Oct-17
st2;-28.496576;-48.759543;14:11;150;1-Oct-17
st4;-28.513133;-48.808737;14:34;80;1-Oct-17
st5;-28.506856;-48.797201;14:43;90;1-Oct-17
st6;-28.499238;-48.786512;14:50;90;1-Oct-17
st7;-28.478801;-48.791544;14:58;115;1-Oct-17
st9;-28.491002;-48.806651;15:08;75;1-Oct-17
st8;-28.482447;-48.794307;15:21;120;1-Oct-17
st10;-28.462787;-48.804977;15:33;180;1-Oct-17
st11;-28.469858;-48.810978;15:49;130;1-Oct-17
st12;-28.474591;-48.823625;16:01;190;1-Oct-17
st13;-28.497268;-48.83225;16:16;130;1-Oct-17
st16;-28.46321;-48.845545;16:25;130;1-Oct-17
st15;-28.457497;-48.831837;16:34;100;1-Oct-17
st18;-28.42399;-48.833888;16:45;170;1-Oct-17
st19;-28.433828;-48.82495;16:52;150;1-Oct-17
st20;-28.429048;-48.830182;17:03;90;1-Oct-17
st17;-28.44227;-48.840621;17:19;230;1-Oct-17
st14;-28.450671;-48.821951;17:33;120;1-Oct-17
st1;-28.495191;-48.75324;14:44;125.0;08-Jul-17
st2;-28.496576;-48.759543;14:53;110.0;08-Jul-17
st3;-28.501429;-48.772616;15:00;100.0;08-Jul-17
st4;-28.513133;-48.808737;15:07;100.0;08-Jul-17
st5;-28.506856;-48.797201;15:13;100.0;08-Jul-17
st6;-28.499238;-48.786512;15:19;80.0;08-Jul-17
st7;-28.478801;-48.791544;15:26;70.0;08-Jul-17
st8;-28.482447;-48.794307;15:42;70.0;08-Jul-17
st9;-28.491002;-48.806651;15:51;40.0;08-Jul-17
st10;-28.462787;-48.804977;16:01;100.0;08-Jul-17
st11;-28.469858;-48.810978;16:10;115.0;08-Jul-17
st12;-28.474591;-48.823625;16:20;120.0;08-Jul-17
st13;-28.497268;-48.83225;16:28;100.0;08-Jul-17
st14;-28.450671;-48.821951;16:37;110.0;08-Jul-17
st15;-28.457497;-48.831837;16:53;60.0;08-Jul-17
st16;-28.46321;-48.845545;17:11;;08-Jul-17
st17;-28.44227;-48.840621;17:28;;08-Jul-17
st18;-28.42399;-48.833888;17:40;;08-Jul-17
st19;-28.433828;-48.82495;17:46;;08-Jul-17
st20;-28.429048;-48.830182;17:57;;08-Jul-17
st1;-28.495191;-48.75324;15:00:00;;27-May-17
st2;-28.496576;-48.759543;15:05:00;;27-May-17
st3;-28.501429;-48.772616;15:15:00;60;27-May-17
st4;-28.513133;-48.808737;15:26:00;75;27-May-17
st5;-28.506856;-48.797201;15:34:00;75;27-May-17
st6;-28.499238;-48.786512;15:43:00;75;27-May-17
st7;-28.478801;-48.791544;15:52:00;55;27-May-17
st8;-28.482447;-48.794307;15:58:00;65;27-May-17
st9;-28.491002;-48.806651;16:05:00;55;27-May-17
st13;-28.497268;-48.83225;16:15:00;120;27-May-17
st12;-28.474591;-48.823625;16:26:00;125;27-May-17
st11;-28.469858;-48.810978;16:35:00;105;27-May-17
st10;-28.462787;-48.804977;16:44:00;100;27-May-17
st14;-28.450671;-48.821951;16:54:00;130;27-May-17
st15;-28.457497;-48.831837;17:02:00;135;27-May-17
st16;-28.46321;-48.845545;17:14:00;140;27-May-17
st17;-28.44227;-48.840621;17:26:00;140;27-May-17
st18;-28.42399;-48.833888;17:36:00;55;27-May-17
st19;-28.433828;-48.82495;17:51:00;-;27-May-17
st20;-28.429048;-48.830182;17:44:00;-;27-May-17
st1;-28.495191;-48.75324;14:15;2.5;25-Jan-17
st4;-28.513133;-48.808737;14:30;0.5;25-Jan-17
st5;-28.506856;-48.797201;14:37;0.5;25-Jan-17
st6;-28.499238;-48.786512;14:47;0.6;25-Jan-17
st7;-28.478801;-48.791544;14:53;0.7;25-Jan-17
st8;-28.482447;-48.794307;14:59;0.6;25-Jan-17
st9;-28.491002;-48.806651;15:07;0.6;25-Jan-17
st10;-28.462787;-48.804977;15:48;0.7;25-Jan-17
st11;-28.469858;-48.810978;15:56;0.7;25-Jan-17
st12;-28.474591;-48.823625;16:08;1.1;25-Jan-17
st14;-28.450671;-48.821951;17:01;0.8;25-Jan-17
st15;-28.457497;-48.831837;17:06;1.2;25-Jan-17
st16;-28.46321;-48.845545;17:16;0.7;25-Jan-17
st17;-28.44227;-48.840621;17:25;0.8;25-Jan-17
st18;-28.42399;-48.833888;17:35;0.7;25-Jan-17
st19;-28.433828;-48.82495;17:42;0.8;25-Jan-17
st20;-28.429048;-48.830182;17:46;0.7;25-Jan-17
