# amostra;estacao;data;volume;filtro;saida;# amostra;665nm;750nm;665A;750A;;;11,4 * K;Eo;Ea;Eo - Ea;Ve;Vf;Final;estacao;data
26;2;25-Jan;600;g;1;26;0,050;0,016;0,035;0,012;;;27,702;0,034;0,023;0,011;10;0,6;5,0787;2;25-Jan
27;3;25-Jan;550;g;1;27;0,084;0,042;0,069;0,040;;;27,702;0,042;0,029;0,013;10;0,55;6,547745455;3;25-Jan
24;4;25-Jan;423;g;1;24;0,050;0,034;0,048;0,039;;;27,702;0,016;0,009;0,007;10;0,423;4,584255319;4;25-Jan
25;6;25-Jan;650;g;1;25;0,133;0,096;0,110;0,082;;;27,702;0,037;0,028;0,009;10;0,65;3,835661538;6;25-Jan
22;7;25-Jan;500;g;1;22;0,077;0,043;0,074;0,045;;;27,702;0,034;0,029;0,005;10;0,5;2,7702;7;25-Jan
23;8;25-Jan;450;g;1;23;0,101;0,075;0,096;0,071;;;27,702;0,026;0,025;0,001;10;0,45;0,6156;8;25-Jan
21;9;25-Jan;500;g;1;21;0,079;0,039;0,079;0,050;;;27,702;0,040;0,029;0,011;10;0,5;6,09444;9;25-Jan
37;11;25-Jan;550;g;1;37;0,099;0,064;0,067;0,050;;;27,702;0,035;0,017;0,018;10;0,55;9,066109091;11;25-Jan
35;12;25-Jan;800;g;1;35;0,081;0,026;0,062;0,023;;;27,702;0,055;0,039;0,016;10;0,8;5,5404;12;25-Jan
30;14;25-Jan;750;g;1;30;0,068;0,023;0,051;0,024;;;27,702;0,045;0,027;0,018;10;0,75;6,64848;14;25-Jan
29;15;25-Jan;1150;g;1;29;0,057;0,009;0,034;0,006;;;27,702;0,048;0,028;0,020;10;1,15;4,81773913;15;25-Jan
31;17;25-Jan;650;g;1;31;0,082;0,024;0,060;0,027;;;27,702;0,058;0,033;0,025;10;0,65;10,65461538;17;25-Jan
34;18;25-Jan;500;g;1;34;0,090;0,010;0,042;0,012;;;27,702;0,080;0,030;0,050;10;0,5;27,702;18;25-Jan
