;Ponto;Antiga;Data;Hora;Lat;Lon;Secchi;Prof.;Tempo
0;st1;st2;25/01/17;14:15;-28.495191;-48.75324;2.5;6.0;sol encoberto
1;st4;st5;25/01/17;14:30;-28.513133;-48.808737;0.5;3.0;sol encoberto
2;st5;st4;25/01/17;14:37;-28.506856;-48.797201;0.5;3.5;sol encoberto
3;stX;st3;25/01/17;14:42;;;0.5;1.5;sol encoberto
4;st6;st6;25/01/17;14:47;-28.499238;-48.786512;0.6;6.5;sol encoberto
5;st7;st7;25/01/17;14:53;-28.478801;-48.791544;0.7;5.5;nublado
6;st8;st8;25/01/17;14:59;-28.482447;-48.794307;0.6;1.1;nublado
7;st9;st9;25/01/17;15:07;-28.491002;-48.806651;0.6;0.8;princ•À_pio chuva
8;st10;st10;25/01/17;15:48;-28.462787;-48.804977;0.7;6.5;chuva leve
9;st11;st11;25/01/17;15:56;-28.469858;-48.810978;0.7;-;chuva forte
10;st12;st12;25/01/17;16:08;-28.474591;-48.823625;1.1;1.8;chuva mt forte
11;st14;st14;25/01/17;17:01;-28.450671;-48.821951;0.8;0.8;sol encoberto
12;st15;st15;25/01/17;17:06;-28.457497;-48.831837;1.2;1.2;sol encoberto
13;st16;st16;25/01/17;17:16;-28.46321;-48.845545;0.7;2.0;sol encoberto
14;st17;st17;25/01/17;17:25;-28.44227;-48.840621;0.8;2.1;sol encoberto
15;st18;st18;25/01/17;17:35;-28.42399;-48.833888;0.7;2.1;sol encoberto
16;st19;st19;25/01/17;17:42;-28.433828;-48.82495;0.8;1.8;sol encoberto
17;st20;st20;25/01/17;17:46;-28.429048;-48.830182;0.7;0.8;sol encoberto
