;Ponto;Antiga;Lon;Lat;Hora;Secchi (cm);ponto sem coleta
0;st1;st1;-48.75324;-28.495191;15:00:00;;
1;st2;st2b;-48.759543;-28.496576;15:05:00;;sim
2;st3;st2a;-48.772616;-28.501429;15:15:00;60;
3;st4;st5;-48.808737;-28.513133;15:26:00;75;
4;st5;st4;-48.797201;-28.506856;15:34:00;75;
5;st6;st3;-48.786512;-28.499238;15:43:00;75;
6;st7;st6;-48.791544;-28.478801;15:52:00;55;
7;st8;st7;-48.794307;-28.482447;15:58:00;65;
8;st9;st8;-48.806651;-28.491002;16:05:00;55;
9;st13;st9;-48.83225;-28.497268;16:15:00;120;
10;st12;st10;-48.823625;-28.474591;16:26:00;125;
11;st11;st11;-48.810978;-28.469858;16:35:00;105;
12;st10;st12;-48.804977;-28.462787;16:44:00;100;
13;st14;st14;-48.821951;-28.450671;16:54:00;130;
14;st15;st15;-48.831837;-28.457497;17:02:00;135;
15;st16;st17;-48.845545;-28.46321;17:14:00;140;
16;st17;st18;-48.840621;-28.44227;17:26:00;140;
17;st18;st19;-48.833888;-28.42399;17:36:00;55;
18;st19;st20a;-48.82495;-28.433828;17:51:00;-;
19;st20;st20b;-48.830182;-28.429048;17:44:00;-;sim
