Ponto	Lat	Lon	Hora	Data	Estacao	Secchi	CC	Surf Temp	Bot Temp	Surf Sal	Bot Sal	Nmare	Mare
st1	-28.495191	-48.75324	14:04	01-Oct-17	Primavera	135	2.77	22.2951	18.9381	5.3497	35.0655	12.6	Vazante
st2	-28.496576	-48.759543	14:11	01-Oct-17	Primavera	150	4.16	20.7373	19.0296	0.92	35.0191	12.6	Vazante
st4	-28.513133	-48.808737	14:34	01-Oct-17	Primavera	80	8.31	19.3257	19.1444	35.1256	34.9765	12.2	Vazante
st5	-28.506856	-48.797201	14:43	01-Oct-17	Primavera	90	6.65	22.0471	19.225	2.6197	31.5225	12.2	Vazante
st6	-28.499238	-48.786512	14:50	01-Oct-17	Primavera	90		22.0035	19.5271	2.9203	33.7108	12.2	Vazante
st7	-28.478801	-48.791544	14:58	01-Oct-17	Primavera	115	6.93	21.4798	19.2974	9.5395	34.9407	12.2	Vazante
st9	-28.491002	-48.806651	15:08	01-Oct-17	Primavera	75	5.54	20.7052	20.6943	28.0976	28.6885	12.2	Vazante
st8	-28.482447	-48.794307	15:21	01-Oct-17	Primavera	120		21.6781	19.6958	1.9685	32.944	12.2	Vazante
st10	-28.462787	-48.804977	15:33	01-Oct-17	Primavera	180		22.8854	21.4572	19.956	25.0623	10.1	Vazante
st11	-28.469858	-48.810978	15:49	01-Oct-17	Primavera	130		22.381	22.4378	25.5689	26.284	10.1	Vazante
st12	-28.474591	-48.823625	16:01	01-Oct-17	Primavera	190	2.77	22.1741	21.9495	27.4704	27.3769	10.1	Vazante
st13	-28.497268	-48.83225	16:16	01-Oct-17	Primavera	130		23.3963	22.2691	17.0851	27.4336	10.1	Vazante
st16	-28.46321	-48.845545	16:25	01-Oct-17	Primavera	130	1.39	23.1229	21.7973	26.9974	27.5751	10.1	Vazante
st15	-28.457497	-48.831837	16:34	01-Oct-17	Primavera	100	1.85	23.0797	22.6945	8.7478	26.2641	7.4	Vazante
st18	-28.42399	-48.833888	16:45	01-Oct-17	Primavera	170		23.1337	22.1972	3.2055	27.2399	7.4	Vazante
st19	-28.433828	-48.82495	16:52	01-Oct-17	Primavera	150	3.69	23.8402	22.2175	9.6932	27.1084	7.4	Vazante
st20	-28.429048	-48.830182	17:03	01-Oct-17	Primavera	90	6.65	24.4227	24.3767	9.3087	25.2176	7.4	Vazante
st17	-28.44227	-48.840621	17:19	01-Oct-17	Primavera	230		22.9202	22.9055	27.1034	27.074	7.4	Vazante
st14	-28.450671	-48.821951	17:33	01-Oct-17	Primavera	120	8.62	22.5526	20.6024	18.3614	32.5611	4.5	Vazante
st1	-28.495191	-48.75324	14:44	08-Jul-17	Inverno	125	2.22	19.7455	19.3237	21.7097	33.1994	12.5	Enchente
st2	-28.496576	-48.759543	14:53	08-Jul-17	Inverno	110	1.11	19.5345	19.3598	33.3422	33.1671	12.5	Enchente
st3	-28.501429	-48.772616	15:00	08-Jul-17	Inverno	100	2.77	19.4677	19.3384	33.1258	33.1854	12.5	Enchente
st4	-28.513133	-48.808737	15:07	08-Jul-17	Inverno	100		19.4454	19.3423	20.2782	33.1453	12.5	Enchente
st5	-28.506856	-48.797201	15:13	08-Jul-17	Inverno	100	8.6	19.8182	19.1643	14.0809	31.0602	12.5	Enchente
st6	-28.499238	-48.786512	15:19	08-Jul-17	Inverno	80	5.54	19.7749	18.9422	5.7041	31.0049	12.5	Enchente
st7	-28.478801	-48.791544	15:26	08-Jul-17	Inverno	70		20.0762	18.9306	4.617	27.1583	12.5	Enchente
st8	-28.482447	-48.794307	15:42	08-Jul-17	Inverno	70	12.93	19.4879	19.4289	32.3851	32.9866	12.8	Vazante
st9	-28.491002	-48.806651	15:51	08-Jul-17	Inverno	40	7.39	19.4619	19.5795	17.2474	28.2259	12.8	Vazante
st10	-28.462787	-48.804977	16:01	08-Jul-17	Inverno	100		20.879	20.6976	0.9849	29.4319	12.8	Vazante
st11	-28.469858	-48.810978	16:10	08-Jul-17	Inverno	115		20.6948	20.0394	9.6426	25.5218	12.8	Vazante
st12	-28.474591	-48.823625	16:20	08-Jul-17	Inverno	120	3.69	20.1136	21.1836	0.9718	24.9486	12.8	Vazante
st13	-28.497268	-48.83225	16:28	08-Jul-17	Inverno	100	14.77	20.1169	20.3751	12.5766	18.8329	12.8	Vazante
st14	-28.450671	-48.821951	16:37	08-Jul-17	Inverno	110	3.69	19.9841	19.7244	8.7003	26.3995	10.5	Vazante
st15	-28.457497	-48.831837	16:53	08-Jul-17	Inverno	60		21.3145	21.3495	14.6726	14.6012	10.5	Vazante
st16	-28.46321	-48.845545	17:11	08-Jul-17	Inverno		1.85	19.9306	19.9528	14.1223	22.6325	10.5	Vazante
st17	-28.44227	-48.840621	17:28	08-Jul-17	Inverno		3.69	20.0201	20.1659	9.1558	19.2487	10.5	Vazante
st18	-28.42399	-48.833888	17:40	08-Jul-17	Inverno		3.69	20.0646	20.1106	16.284	18.5623	8	Vazante
st19	-28.433828	-48.82495	17:46	08-Jul-17	Inverno		1.85	19.38	20.0004	0.6333	16.3334	8	Vazante
st20	-28.429048	-48.830182	17:57	08-Jul-17	Inverno		9.23	19.457	19.9828	8.0014	13.0602	8	Vazante
st1	-28.495191	-48.75324	14:15	25-Jan-17	Verão	250	5.08	28.1006	26.0133	17.706	34.7061	18.3	Vazante
st4	-28.513133	-48.808737	14:30	25-Jan-17	Verão	50		27.6539	28.2162	2.2816	33.0565	18.3	Vazante
st5	-28.506856	-48.797201	14:37	25-Jan-17	Verão	50	4.58	27.47	25.6753	2.7848	33.9152	16.4	Vazante
st6	-28.499238	-48.786512	14:47	25-Jan-17	Verão	60	3.84	25.7623	25.7496	2.1425	16.9112	16.4	Vazante
st7	-28.478801	-48.791544	14:53	25-Jan-17	Verão	70	2.77	28.2842	26.0396	8.4546	31.033	16.4	Vazante
st8	-28.482447	-48.794307	14:59	25-Jan-17	Verão	60	0.62	28.0078	28.0353	2.2571	8.303	16.4	Vazante
st9	-28.491002	-48.806651	15:07	25-Jan-17	Verão	60	6.09	27.8777	28.2276	10.1778	9.5939	16.4	Vazante
st10	-28.462787	-48.804977	15:48	25-Jan-17	Verão	70		26.733	26.169	8.5742	30.9573	14.1	Vazante
st11	-28.469858	-48.810978	15:56	25-Jan-17	Verão	70	9.07	26.9961	28.4004	11.395	17.3093	14.1	Vazante
st12	-28.474591	-48.823625	16:08	25-Jan-17	Verão	110	5.54	29.2442	29.4797	15.1226	15.5632	14.1	Vazante
st14	-28.450671	-48.821951	17:01	25-Jan-17	Verão	80	6.65	29.2255	29.7773	15.8019	16.2899	10.5	Vazante
st15	-28.457497	-48.831837	17:06	25-Jan-17	Verão	120	4.82	29.129	29.2222	16.3362	16.4893	10.5	Vazante
st16	-28.46321	-48.845545	17:16	25-Jan-17	Verão	70		29.3494	29.5106	15.8921	16.1568	10.5	Vazante
st17	-28.44227	-48.840621	17:25	25-Jan-17	Verão	80	10.65	29.1186	29.5228	15.2466	15.9433	10.5	Vazante
st18	-28.42399	-48.833888	17:35	25-Jan-17	Verão	70	27.7	28.6706	29.2639	14.4854	15.5259	9.2	Vazante
st19	-28.433828	-48.82495	17:42	25-Jan-17	Verão	80	3.84	26.8076	29.2485	5.6456	15.5572	9.2	Vazante
st20	-28.429048	-48.830182	17:46	25-Jan-17	Verão	70	5.54	24.9884	29.2861	11.4908	15.4014	9.2	Vazante
st1	-28.495191	-48.75324	15:00:00	27-May-17	Outono			20.4018	20.3119	30.2789	35.4365	29.5	Enchente
st2	-28.496576	-48.759543	15:05:00	27-May-17	Outono			20.4084	20.3767	35.3616	35.549	29.5	Enchente
st3	-28.501429	-48.772616	15:15:00	27-May-17	Outono	60		20.3609	20.4194	35.4453	35.5646	29.5	Enchente
st4	-28.513133	-48.808737	15:26:00	27-May-17	Outono	75		22.0242	20.6116	4.4878	35.6513	29.5	Enchente
st5	-28.506856	-48.797201	15:34:00	27-May-17	Outono	75		21.5373	20.5067	3.2731	32.5871	32.3	Enchente
st6	-28.499238	-48.786512	15:43:00	27-May-17	Outono	75		21.0526	20.4449	4.3588	29.5833	32.3	Enchente
st7	-28.478801	-48.791544	15:52:00	27-May-17	Outono	55		18.2024	20.6225	8.7616	29.6032	32.3	Enchente
st8	-28.482447	-48.794307	15:58:00	27-May-17	Outono	65		20.5458	20.5391	29.772	30.122	32.3	Enchente
st9	-28.491002	-48.806651	16:05:00	27-May-17	Outono	55		20.4565	20.5443	28.0308	28.4868	32.3	Enchente
st13	-28.497268	-48.83225	16:15:00	27-May-17	Outono	120		18.4431	20.6423	16.4306	26.0501	32.3	Enchente
st12	-28.474591	-48.823625	16:26:00	27-May-17	Outono	125		20.3261	20.6472	21.7178	27.3058	32.3	Enchente
st11	-28.469858	-48.810978	16:35:00	27-May-17	Outono	105		18.4657	20.5642	11.0811	27.11	36.7	Enchente
st10	-28.462787	-48.804977	16:44:00	27-May-17	Outono	100		20.5596	20.5984	24.9675	25.8781	36.7	Enchente
st14	-28.450671	-48.821951	16:54:00	27-May-17	Outono	130		20.1908	20.4582	17.274	24.1061	36.7	Enchente
st15	-28.457497	-48.831837	17:02:00	27-May-17	Outono	135		20.4109	20.5732	25.3062	25.6354	36.7	Enchente
st16	-28.46321	-48.845545	17:14:00	27-May-17	Outono	140		19.9226	21.0702	22.9651	27.6439	36.7	Enchente
st17	-28.44227	-48.840621	17:26:00	27-May-17	Outono	140		20.7029	20.99	24.1904	27.5754	36.7	Enchente
st18	-28.42399	-48.833888	17:36:00	27-May-17	Outono	55		18.7273	20.9692	3.3603	21.8937	36.3	Vazante
st20	-28.429048	-48.830182	17:44:00	27-May-17	Outono	-		20.9501	21.0464	17.7801	20.0715	36.3	Vazante
st19	-28.433828	-48.82495	17:51:00	27-May-17	Outono	-		20.8621	20.7661	18.6591	23.6014	36.3	Vazante
