Ponto	Lat	Lon	Hora	Data	Estacao	Secchi	CC	Surf Temp	Bot Temp	Surf Sal	Bot Sal	Nmare	Mare	Estrat Temp	Estrat Sal
st1	-28.495191	-48.753240000000005	14:04	01-Oct-17	Primavera	135.0	2.77	22.2951	18.9381	5.3497	35.0655	12.6	Vazante	3.357000000000003	29.7158
st2	-28.496576	-48.759543	14:11	01-Oct-17	Primavera	150.0	4.16	20.7373	19.0296	0.92	35.0191	12.6	Vazante	1.7077000000000027	34.0991
st4	-28.513133000000003	-48.808737	14:34	01-Oct-17	Primavera	80.0	8.31	19.3257	19.1444	35.1256	34.9765	12.2	Vazante	0.18130000000000024	0.14909999999999712
st5	-28.506856	-48.797201	14:43	01-Oct-17	Primavera	90.0	6.65	22.0471	19.225	2.6197	31.5225	12.2	Vazante	2.822099999999999	28.9028
st7	-28.478801	-48.791544	14:58	01-Oct-17	Primavera	115.0	6.93	21.4798	19.2974	9.5395	34.9407	12.2	Vazante	2.1824000000000012	25.4012
st9	-28.491002	-48.806651	15:08	01-Oct-17	Primavera	75.0	5.54	20.7052	20.6943	28.0976	28.6885	12.2	Vazante	0.010900000000003018	0.5909000000000013
st12	-28.474590999999997	-48.823625	16:01	01-Oct-17	Primavera	190.0	2.77	22.1741	21.9495	27.4704	27.3769	10.1	Vazante	0.2245999999999988	0.09350000000000236
st16	-28.463209999999997	-48.845545	16:25	01-Oct-17	Primavera	130.0	1.39	23.1229	21.7973	26.9974	27.5751	10.1	Vazante	1.3256000000000014	0.5777000000000001
st15	-28.457496999999996	-48.831837	16:34	01-Oct-17	Primavera	100.0	1.85	23.0797	22.6945	8.7478	26.2641	7.4	Vazante	0.38519999999999754	17.5163
st19	-28.433828000000002	-48.82495	16:52	01-Oct-17	Primavera	150.0	3.69	23.8402	22.2175	9.6932	27.1084	7.4	Vazante	1.6226999999999983	17.4152
st20	-28.429047999999998	-48.830182	17:03	01-Oct-17	Primavera	90.0	6.65	24.4227	24.3767	9.3087	25.2176	7.4	Vazante	0.045999999999999375	15.908900000000001
st14	-28.450671000000003	-48.821951	17:33	01-Oct-17	Primavera	120.0	8.62	22.5526	20.6024	18.3614	32.5611	4.5	Vazante	1.9502000000000024	14.199700000000004
st1	-28.495191	-48.753240000000005	14:44	08-Jul-17	Inverno	125.0	2.22	19.7455	19.3237	21.7097	33.1994	12.5	Enchente	0.42180000000000106	11.489699999999996
st2	-28.496576	-48.759543	14:53	08-Jul-17	Inverno	110.0	1.11	19.5345	19.3598	33.3422	33.1671	12.5	Enchente	0.1747000000000014	0.17510000000000048
st3	-28.501428999999998	-48.772616	15:00	08-Jul-17	Inverno	100.0	2.77	19.4677	19.3384	33.1258	33.1854	12.5	Enchente	0.12930000000000064	0.059600000000003206
st5	-28.506856	-48.797201	15:13	08-Jul-17	Inverno	100.0	8.6	19.8182	19.1643	14.0809	31.0602	12.5	Enchente	0.6539000000000001	16.9793
st6	-28.499238000000002	-48.786512	15:19	08-Jul-17	Inverno	80.0	5.54	19.7749	18.9422	5.7041	31.0049	12.5	Enchente	0.8326999999999991	25.3008
st8	-28.482446999999997	-48.794307	15:42	08-Jul-17	Inverno	70.0	12.93	19.4879	19.4289	32.3851	32.9866	12.8	Vazante	0.05900000000000105	0.6015000000000015
st9	-28.491002	-48.806651	15:51	08-Jul-17	Inverno	40.0	7.39	19.4619	19.5795	17.2474	28.2259	12.8	Vazante	0.11759999999999948	10.9785
st12	-28.474590999999997	-48.823625	16:20	08-Jul-17	Inverno	120.0	3.69	20.1136	21.1836	0.9718	24.9486	12.8	Vazante	1.0699999999999967	23.976799999999997
st13	-28.497268	-48.83225	16:28	08-Jul-17	Inverno	100.0	14.77	20.1169	20.3751	12.5766	18.8329	12.8	Vazante	0.25819999999999865	6.2562999999999995
st14	-28.450671000000003	-48.821951	16:37	08-Jul-17	Inverno	110.0	3.69	19.9841	19.7244	8.7003	26.3995	10.5	Vazante	0.25970000000000226	17.699199999999998
st16	-28.463209999999997	-48.845545	17:11	08-Jul-17	Inverno		1.85	19.9306	19.9528	14.1223	22.6325	10.5	Vazante	0.022200000000001552	8.510200000000001
st17	-28.44227	-48.840621	17:28	08-Jul-17	Inverno		3.69	20.0201	20.1659	9.1558	19.2487	10.5	Vazante	0.14580000000000126	10.0929
st18	-28.423990000000003	-48.833888	17:40	08-Jul-17	Inverno		3.69	20.0646	20.1106	16.284000000000002	18.5623	8.0	Vazante	0.04600000000000293	2.278299999999998
st19	-28.433828000000002	-48.82495	17:46	08-Jul-17	Inverno		1.85	19.38	20.0004	0.6333	16.3334	8.0	Vazante	0.6204000000000001	15.7001
st20	-28.429047999999998	-48.830182	17:57	08-Jul-17	Inverno		9.23	19.457	19.9828	8.0014	13.0602	8.0	Vazante	0.5258000000000003	5.0588
st1	-28.495191	-48.753240000000005	14:15	25-Jan-17	Verão	250.0	5.08	28.1006	26.0133	17.706	34.7061	18.3	Vazante	2.087299999999999	17.0001
st5	-28.506856	-48.797201	14:37	25-Jan-17	Verão	50.0	4.58	27.47	25.6753	2.7848	33.9152	16.4	Vazante	1.7946999999999989	31.130399999999998
st6	-28.499238000000002	-48.786512	14:47	25-Jan-17	Verão	60.0	3.84	25.7623	25.7496	2.1425	16.9112	16.4	Vazante	0.012699999999998823	14.7687
st7	-28.478801	-48.791544	14:53	25-Jan-17	Verão	70.0	2.77	28.2842	26.0396	8.4546	31.033	16.4	Vazante	2.2445999999999984	22.578400000000002
st8	-28.482446999999997	-48.794307	14:59	25-Jan-17	Verão	60.0	0.62	28.0078	28.0353	2.2571	8.302999999999999	16.4	Vazante	0.027499999999999858	6.0459
st9	-28.491002	-48.806651	15:07	25-Jan-17	Verão	60.0	6.09	27.8777	28.2276	10.1778	9.5939	16.4	Vazante	0.3498999999999981	0.5838999999999999
st11	-28.469858000000002	-48.810978000000006	15:56	25-Jan-17	Verão	70.0	9.07	26.9961	28.4004	11.395	17.3093	14.1	Vazante	1.4043000000000028	5.914300000000001
st12	-28.474590999999997	-48.823625	16:08	25-Jan-17	Verão	110.0	5.54	29.2442	29.4797	15.1226	15.5632	14.1	Vazante	0.23550000000000182	0.4405999999999999
st14	-28.450671000000003	-48.821951	17:01	25-Jan-17	Verão	80.0	6.65	29.2255	29.7773	15.8019	16.2899	10.5	Vazante	0.5518000000000001	0.48799999999999955
st15	-28.457496999999996	-48.831837	17:06	25-Jan-17	Verão	120.0	4.82	29.129	29.2222	16.3362	16.4893	10.5	Vazante	0.0931999999999995	0.15309999999999846
st17	-28.44227	-48.840621	17:25	25-Jan-17	Verão	80.0	10.65	29.1186	29.5228	15.2466	15.9433	10.5	Vazante	0.40419999999999945	0.6966999999999999
st18	-28.423990000000003	-48.833888	17:35	25-Jan-17	Verão	70.0	27.7	28.6706	29.2639	14.4854	15.5259	9.2	Vazante	0.5932999999999993	1.0404999999999998
st19	-28.433828000000002	-48.82495	17:42	25-Jan-17	Verão	80.0	3.84	26.8076	29.2485	5.6456	15.5572	9.2	Vazante	2.440899999999999	9.9116
st20	-28.429047999999998	-48.830182	17:46	25-Jan-17	Verão	70.0	5.54	24.9884	29.2861	11.4908	15.4014	9.2	Vazante	4.2977000000000025	3.9106000000000005
