c0S/m	depSM	flag	lat	lon	name	potemp090C	pr	sal00	sigma-t00	t090	timeJ	Season	zona
3.0517	0.001	0.0	-28.495191	-48.753240000000005	st1	28.1006	0.001	17.706	9.4159	28.1006	25.592674	verao	Canal
3.41844	0.133	0.0	-28.495191	-48.753240000000005	st1	27.7047	0.134	20.2316	11.4225	27.7047	25.592755	verao	Canal
3.9317	0.256	0.0	-28.495191	-48.753240000000005	st1	27.629	0.258	23.655	14.0047	27.6291	25.592836	verao	Canal
4.08375	0.198	0.0	-28.495191	-48.753240000000005	st1	27.2119	0.199	24.8918	15.0596	27.2119	25.592917	verao	Canal
4.73379	0.495	0.0	-28.495191	-48.753240000000005	st1	26.8866	0.498	29.5483	18.653	26.8867	25.592998	verao	Canal
4.996	0.692	0.0	-28.495191	-48.753240000000005	st1	26.6334	0.697	31.5572	20.242	26.6336	25.593079	verao	Canal
5.12371	0.821	0.0	-28.495191	-48.753240000000005	st1	26.6364	0.827	32.4609	20.9211	26.6366	25.59316	verao	Canal
5.1808	1.209	0.0	-28.495191	-48.753240000000005	st1	26.5082	1.217	32.9582	21.3355	26.5085	25.593241	verao	Canal
5.2233	1.33	0.0	-28.495191	-48.753240000000005	st1	26.4882	1.339	33.2763	21.5814	26.4885	25.593322	verao	Canal
5.23135	1.567	0.0	-28.495191	-48.753240000000005	st1	26.4336	1.578	33.3733	21.6714	26.434	25.593403	verao	Canal
5.24276	1.862	0.0	-28.495191	-48.753240000000005	st1	26.4185	1.875	33.4659	21.7459	26.4189	25.593484	verao	Canal
5.25642	2.581	0.0	-28.495191	-48.753240000000005	st1	26.3631	2.598	33.6039	21.8672	26.3637	25.593565	verao	Canal
5.28212	3.042	0.0	-28.495191	-48.753240000000005	st1	26.2181	3.062	33.895	22.1318	26.2188	25.593646	verao	Canal
5.35295	3.901	0.0	-28.495191	-48.753240000000005	st1	26.0275	3.927	34.5492	22.6844	26.0284	25.593727	verao	Canal
5.37518	4.589	0.0	-28.495191	-48.753240000000005	st1	26.0176	4.62	34.7179	22.8147	26.0186	25.593808	verao	Canal
5.38154	5.402	0.0	-28.495191	-48.753240000000005	st1	26.0224	5.438	34.7601	22.845	26.0236	25.593889	verao	Canal
5.38	5.979	0.0	-28.495191	-48.753240000000005	st1	26.0172	6.019	34.7526	22.8409	26.0185	25.59397	verao	Canal
