;Ordem;Ponto;Lat;Lon;Hora;Secchi (cm)
0;1;st1;-28.495191;-48.75324;14:04;135
1;2;st2;-28.496576;-48.759543;14:11;150
2;3;st3;-28.501429;-48.772616;14:19;150
3;4;st4;-28.513133;-48.808737;14:34;80
4;5;st5;-28.506856;-48.797201;14:43;90
5;6;st6;-28.499238;-48.786512;14:50;90
6;7;st7;-28.478801;-48.791544;14:58;115
7;8;st9;-28.491002;-48.806651;15:08;75
8;9;st8;-28.482447;-48.794307;15:21;120
9;10;st10;-28.462787;-48.804977;15:33;180
10;11;st11;-28.469858;-48.810978;15:49;130
11;12;st12;-28.474591;-48.823625;16:01;190
12;13;st13;-28.497268;-48.83225;16:16;130
13;14;st16;-28.46321;-48.845545;16:25;130
14;15;st15;-28.457497;-48.831837;16:34;100
15;16;st18;-28.42399;-48.833888;16:45;170
16;17;st19;-28.433828;-48.82495;16:52;150
17;18;st20;-28.429048;-48.830182;17:03;90
18;19;st17;-28.44227;-48.840621;17:19;230
19;20;st14;-28.450671;-48.821951;17:33;120
