codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_direcao;vento_vel; vento_rajada;radiacao;precipitacao
A866;25/01/17;23;24.0;25.2;23.9;85;85;78;21.4;21.5;20.7;1003.1;1003.3;1002.9;0.0;236;0.0;2.838;0.0
A866;25/01/17;22;25.0;25.4;25.0;79;81;77;21.1;21.8;20.9;1003.1;1003.1;1002.5;0.0;236;0.0;163.2;0.0
A866;25/01/17;21;25.3;26.0;25.2;81;81;73;21.7;21.9;20.6;1002.5;1002.6;1001.9;0.0;236;0.0;324.4;0.0
A866;25/01/17;20;26.0;26.4;25.7;74;75;73;20.9;21.3;20.8;1002.0;1002.0;1001.6;0.0;236;0.0;768.0;0.0
A866;25/01/17;19;26.4;26.7;25.7;73;77;72;21.1;21.8;21.0;1002.0;1002.7;1002.0;0.0;236;0.0;863.3;0.0
A866;25/01/17;18;26.1;27.1;25.9;75;76;73;21.3;22.0;20.9;1002.7;1003.1;1002.7;0.0;236;0.0;755.8;0.0
A866;25/01/17;17;27.1;29.1;27.1;74;74;59;22.0;22.1;20.1;1002.9;1003.2;1002.9;0.0;236;0.0;2346.;0.0
A866;25/01/17;16;28.7;30.0;28.6;61;64;55;20.5;21.6;19.6;1003.2;1003.5;1003.1;0.0;236;0.0;3064.;0.0
A866;25/01/17;15;28.6;29.0;26.9;63;70;62;20.8;21.7;20.2;1003.5;1003.8;1003.5;0.0;236;0.0;1853.;0.0
A866;25/01/17;14;27.0;27.3;24.7;67;77;67;20.4;21.3;20.2;1003.7;1003.7;1003.6;0.0;236;0.0;1458.;0.0
A866;25/01/17;13;24.7;24.9;24.1;77;81;77;20.4;21.1;20.4;1003.7;1003.8;1003.4;0.0;236;0.0;770.8;0.0
A866;25/01/17;12;24.1;24.3;23.9;81;83;80;20.7;21.0;20.4;1003.4;1003.6;1003.3;0.0;236;0.0;712.5;0.0
A866;25/01/17;11;23.9;23.9;23.2;83;84;83;20.9;20.9;20.2;1003.6;1003.8;1003.6;0.0;236;0.0;464.7;0.0
A866;25/01/17;10;23.2;23.3;23.2;83;84;82;20.2;20.3;20.0;1003.7;1003.9;1003.7;0.0;236;0.0;140.6;0.0
A866;25/01/17;9;23.2;23.3;23.0;82;84;82;20.0;20.4;19.9;1003.8;1003.9;1003.6;0.0;236;0.0;-1.07;1.6
A866;25/01/17;8;23.2;24.2;23.1;82;82;79;19.9;20.4;19.8;1003.6;1003.6;1002.3;0.0;236;0.0;-3.42;2.0
A866;25/01/17;7;24.1;24.4;24.0;80;80;77;20.4;20.4;19.9;1002.3;1002.3;1001.7;0.0;236;0.0;-2.81;0.0
A866;25/01/17;6;24.1;24.3;23.7;78;83;77;20.0;21.2;19.9;1001.7;1002.4;1001.7;0.0;236;0.0;-3.10;0.0
A866;25/01/17;5;24.2;24.2;24.1;83;83;81;21.1;21.1;20.6;1002.4;1003.2;1002.4;0.0;236;0.0;-3.50;0.0
A866;25/01/17;4;24.1;24.4;23.9;81;81;79;20.6;20.7;20.1;1003.2;1004.2;1003.2;0.0;236;0.0;-3.39;0.0
A866;25/01/17;3;23.9;24.0;23.5;81;81;80;20.4;20.6;20.1;1004.2;1004.5;1004.2;0.0;236;0.0;-3.46;0.0
A866;25/01/17;2;23.5;23.8;23.4;81;82;78;20.1;20.2;19.7;1004.5;1004.9;1004.5;0.0;236;0.0;-3.17;0.0
A866;25/01/17;1;23.8;23.8;23.4;78;80;78;19.7;19.9;19.6;1004.7;1004.9;1004.4;0.0;236;0.0;-2.81;0.0
A866;25/01/17;0;23.7;24.2;23.7;80;83;79;20.0;21.0;19.9;1004.4;1004.4;1003.9;0.0;236;0.0;-1.39;0.0
