;Ponto;Ordem coleta;Lat;Lon;Unnamed: 4;Lat DMS;Lon DMS
0;st2;1;-28.25724;-48.50124;;;
1;st5c;2;-28.30433;-48.47886;;;
2;st5b;3;-28.30318;-48.47683;;;
3;st5a;4;-28.30203;-48.47442;;;
4;st4;5;-28.29987;-48.47238;;;
5;st3;6;-28.29861;-48.47059;;;
6;st6;7;-28.29526;-48.47325;;;
7;st7;8;-28.29346;-48.47194;;;
8;st8;9;-28.29386;-48.47838;;;
9;st9;10;-28.29049;-48.49137;;;
10;st13;11;-28.28277;-48.51218;;;
11;st12;12;-28.28461;-48.50222;;;
12;st11;13;-28.28508;-48.49959;;;
13;st10;14;-28.2887;-48.47424;;;
14;st14;15;-28.26948;-48.49214;;;
15;st17;16;-28.26115;-48.5059;;;
16;st20;17;-28.25803;-48.50244;;;
17;st19;18;-28.25749;-48.50307;;;
18;st18;19;-28.25675;-48.50421;;;
19;st21;20;-28.2537;-48.50166;;;
20;st22;21;-28.25095;-48.5013;;;
21;st23;22;-28.24733;-48.50133;;;
22;st24;23;-28.244;-48.50125;;;
23;st25;24;-28.23796;-48.50076;;;
24;st16;25;-28.27721;-48.51199;;;
25;st15;26;-28.25724;-48.50314;;;
